Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
128, 9824, 1485, 8339, 470
128, 9653, 1494, 8159, 43
128, 9351, 1521, 7830, 11
128, 9867, 1526, 8341, 7
128, 9746, 1536, 8210, 856
128, 9648, 1541, 8107, 23
128, 9355, 1545, 7810, 1
128, 9999, 1546, 8453, 8
128, 11174, 1562, 9612, 75
128, 10229, 1564, 8665, 20
128, 10029, 1585, 8444, 1149
128, 9728, 1586, 8142, 10
128, 10180, 1590, 8590, 27
128, 10026, 1599, 8427, 1220
128, 9952, 1601, 8351, 1111
128, 10000, 1607, 8393, 13
128, 10123, 1608, 8515, 1
128, 9773, 1613, 8160, 98
128, 9449, 1618, 7831, 49
128, 10020, 1619, 8401, 1180
128, 9612, 1633, 7979, 1254
128, 9885, 1636, 8249, 1268
128, 10016, 1645, 8371, 13
128, 9843, 1648, 8195, 122
128, 9603, 1657, 7946, 8
128, 9490, 1659, 7831, 11
128, 9578, 1660, 7918, 74
128, 10252, 1661, 8591, 18
128, 9771, 1662, 8109, 16
128, 10146, 1665, 8481, 8
128, 9589, 1667, 7922, 11
128, 9877, 1669, 8208, 643
128, 9884, 1745, 8139, 555
128, 9550, 1761, 7789, 1278
128, 9473, 1765, 7708, 4
128, 9808, 1807, 8001, 189
128, 10421, 1809, 8612, 40
128, 9436, 1879, 7557, 11
256, 16374, 201, 16173, 5037
256, 11413, 665, 10748, 24
256, 11320, 712, 10608, 1860
256, 12467, 902, 11565, 654
256, 11400, 919, 10481, 33
256, 10964, 939, 10025, 158
256, 10943, 989, 9954, 1048
256, 11495, 1112, 10383, 194
256, 11787, 1149, 10638, 167
256, 11049, 1233, 9816, 99
256, 9833, 1293, 8540, 779
256, 10389, 1311, 9078, 699
256, 10835, 1382, 9453, 873
256, 10304, 1395, 8909, 262
256, 11063, 1414, 9649, 182
256, 16349, 1457, 14892, 15
256, 10943, 1507, 9436, 392
256, 12859, 1529, 11330, 557
256, 11359, 1554, 9805, 1175
256, 9416, 1567, 7849, 970
256, 9538, 1567, 7971, 133
256, 10025, 1577, 8448, 19
256, 11492, 1606, 9886, 277
256, 9844, 1627, 8217, 608
256, 10723, 1640, 9083, 211
256, 10408, 1646, 8762, 21
256, 9577, 1668, 7909, 699
256, 9831, 1695, 8136, 18
256, 11507, 1747, 9760, 83
256, 12159, 1749, 10410, 218
256, 11335, 1822, 9513, 443
256, 11193, 1852, 9341, 56
256, 11670, 1886, 9784, 1858
256, 10526, 1896, 8630, 262
256, 11164, 1896, 9268, 163
256, 11386, 1912, 9474, 1217
256, 10674, 1922, 8752, 82
256, 11567, 1959, 9608, 1256
256, 11364, 1998, 9366, 1210
256, 11835, 1998, 9837, 104
256, 12272, 2016, 10256, 253
256, 10782, 2038, 8744, 79
256, 11656, 2106, 9550, 569
256, 11500, 2258, 9242, 240
256, 11110, 2265, 8845, 169
256, 11752, 2360, 9392, 96
256, 11812, 2431, 9381, 30
256, 12258, 2540, 9718, 146
512, 15809, 400, 15409, 32
512, 13210, 428, 12782, 2252
512, 12497, 437, 12060, 4272
512, 13141, 438, 12703, 19
512, 13683, 439, 13244, 948
512, 14835, 440, 14395, 2415
512, 14157, 443, 13714, 1214
512, 18104, 443, 17661, 1682
512, 13007, 446, 12561, 23
512, 13388, 447, 12941, 29
512, 14961, 447, 14514, 2459
512, 18773, 449, 18324, 2586
512, 11288, 452, 10836, 4516
512, 13927, 452, 13475, 3140
512, 14963, 452, 14511, 1903
512, 14766, 454, 14312, 3620
512, 13345, 466, 12879, 3181
512, 13527, 468, 13059, 1656
512, 14688, 468, 14220, 29
512, 16631, 472, 16159, 1444
512, 13011, 474, 12537, 1905
512, 12198, 475, 11723, 2192
512, 17052, 475, 16577, 1711
512, 17141, 475, 16666, 1803
512, 13926, 476, 13450, 2142
512, 15092, 484, 14608, 14
512, 12611, 489, 12122, 1474
512, 12594, 491, 12103, 2959
512, 14245, 496, 13749, 1848
512, 15246, 496, 14750, 1241
512, 14307, 500, 13807, 22
512, 10558, 504, 10054, 42
512, 14852, 518, 14334, 3101
512, 14595, 520, 14075, 32
512, 16315, 537, 15778, 1497
512, 16642, 561, 16081, 1412
512, 13614, 584, 13030, 169
512, 12318, 585, 11733, 24
512, 12736, 585, 12151, 2678
512, 16509, 593, 15916, 1077
512, 15192, 595, 14597, 2599
512, 10227, 611, 9616, 3470
512, 17037, 611, 16426, 1151
512, 14747, 612, 14135, 2978
512, 15696, 650, 15046, 1409
512, 10937, 664, 10273, 1209
512, 11576, 666, 10910, 2315
512, 9776, 702, 9074, 206
512, 14777, 718, 14059, 99
512, 11054, 720, 10334, 3296
512, 11187, 747, 10440, 1121
512, 11419, 754, 10665, 1601
512, 11255, 765, 10490, 1275
512, 11984, 803, 11181, 310
512, 9880, 821, 9059, 1334
512, 16723, 841, 15882, 3468
512, 11244, 853, 10391, 1964
512, 17343, 876, 16467, 9388
512, 10923, 886, 10037, 171
512, 11056, 887, 10169, 80
512, 12417, 888, 11529, 1018
512, 15065, 890, 14175, 1622
512, 9728, 891, 8837, 856
512, 10406, 902, 9504, 387
512, 11437, 914, 10523, 193
512, 13745, 927, 12818, 973
512, 9566, 947, 8619, 16
512, 12257, 948, 11309, 1131
512, 9769, 955, 8814, 60
512, 14509, 956, 13553, 84
512, 15951, 960, 14991, 3775
512, 17160, 963, 16197, 425
512, 12462, 966, 11496, 514
512, 11222, 975, 10247, 1723
512, 9821, 976, 8845, 142
512, 10067, 999, 9068, 1643
512, 10492, 1001, 9491, 32
512, 9903, 1020, 8883, 763
512, 9843, 1023, 8820, 445
512, 9671, 1030, 8641, 74
512, 13433, 1038, 12395, 51
512, 11435, 1041, 10394, 714
512, 14983, 1044, 13939, 2795
512, 10173, 1050, 9123, 880
512, 9804, 1069, 8735, 216
512, 9950, 1071, 8879, 139
512, 10272, 1077, 9195, 2220
512, 12378, 1082, 11296, 430
512, 9846, 1101, 8745, 1211
512, 9701, 1106, 8595, 370
512, 10069, 1121, 8948, 1939
512, 10432, 1121, 9311, 1604
512, 12159, 1121, 11038, 24
512, 10028, 1123, 8905, 315
512, 9545, 1127, 8418, 1096
512, 10168, 1129, 9039, 971
512, 15544, 1130, 14414, 1051
512, 10147, 1134, 9013, 99
512, 9285, 1134, 8151, 69
512, 10676, 1137, 9539, 299
512, 10111, 1140, 8971, 234
512, 10181, 1140, 9041, 63
512, 9332, 1144, 8188, 20
512, 9890, 1144, 8746, 1270
512, 10243, 1155, 9088, 476
512, 10244, 1155, 9089, 60
512, 10294, 1156, 9138, 65
512, 15695, 1162, 14533, 8686
512, 9950, 1162, 8788, 86
512, 11431, 1164, 10267, 682
512, 12411, 1165, 11246, 1175
512, 15688, 1174, 14514, 7287
512, 9789, 1177, 8612, 43
512, 9665, 1178, 8487, 157
512, 9404, 1180, 8224, 1622
512, 16946, 1182, 15764, 8515
512, 10295, 1183, 9112, 428
512, 12203, 1183, 11020, 1169
512, 12775, 1183, 11592, 2232
512, 10034, 1186, 8848, 852
512, 15869, 1189, 14680, 3049
512, 10008, 1190, 8818, 586
512, 9893, 1190, 8703, 46
512, 10238, 1191, 9047, 22
512, 10020, 1195, 8825, 109
512, 15847, 1195, 14652, 7148
512, 14185, 1197, 12988, 1058
512, 9994, 1199, 8795, 167
512, 15840, 1200, 14640, 7183
512, 10078, 1201, 8877, 43
512, 10507, 1201, 9306, 1163
512, 15801, 1201, 14600, 2869
512, 17332, 1201, 16131, 6416
512, 15790, 1202, 14588, 7173
512, 15804, 1202, 14602, 7164
512, 15851, 1202, 14649, 7055
512, 11447, 1203, 10244, 1306
512, 15904, 1203, 14701, 8615
512, 15807, 1205, 14602, 7189
512, 15831, 1206, 14625, 8537
512, 15783, 1208, 14575, 7163
512, 9791, 1210, 8581, 663
512, 15916, 1213, 14703, 8597
512, 10382, 1215, 9167, 178
512, 9701, 1215, 8486, 588
512, 10604, 1216, 9388, 671
512, 9830, 1219, 8611, 997
512, 10030, 1220, 8810, 919
512, 9547, 1220, 8327, 52
512, 12990, 1224, 11766, 4484
512, 9657, 1225, 8432, 1279
512, 10686, 1226, 9460, 1490
512, 9489, 1227, 8262, 1186
512, 9565, 1229, 8336, 23
512, 9873, 1232, 8641, 58
512, 9439, 1235, 8204, 122
512, 10226, 1244, 8982, 88
512, 9855, 1244, 8611, 42
512, 15651, 1247, 14404, 2987
512, 10428, 1248, 9180, 1261
512, 10145, 1249, 8896, 87
512, 9732, 1257, 8475, 90
512, 14372, 1263, 13109, 2552
512, 9851, 1263, 8588, 1363
512, 10080, 1267, 8813, 193
512, 10405, 1270, 9135, 963
512, 10513, 1270, 9243, 1168
512, 12245, 1274, 10971, 185
512, 9854, 1277, 8577, 115
512, 9854, 1280, 8574, 734
512, 9843, 1296, 8547, 296
512, 10420, 1298, 9122, 1381
512, 11467, 1302, 10165, 381
512, 10012, 1308, 8704, 30
512, 10978, 1309, 9669, 359
512, 15784, 1309, 14475, 9086
512, 10115, 1310, 8805, 148
512, 10332, 1310, 9022, 912
512, 10064, 1311, 8753, 555
512, 10146, 1311, 8835, 5
512, 10132, 1313, 8819, 221
512, 10095, 1315, 8780, 805
512, 9970, 1315, 8655, 211
512, 10049, 1317, 8732, 1595
512, 10596, 1317, 9279, 240
512, 10038, 1323, 8715, 152
512, 10127, 1323, 8804, 1329
512, 9978, 1324, 8654, 191
512, 10078, 1325, 8753, 86
512, 10157, 1331, 8826, 1458
512, 10114, 1335, 8779, 751
512, 10198, 1335, 8863, 901
512, 9477, 1335, 8142, 44
512, 9969, 1335, 8634, 262
512, 10077, 1336, 8741, 92
512, 10182, 1336, 8846, 91
512, 11202, 1337, 9865, 363
512, 9732, 1337, 8395, 372
512, 10556, 1343, 9213, 1172
512, 10123, 1344, 8779, 1436
512, 10009, 1347, 8662, 1416
512, 10442, 1349, 9093, 238
512, 9710, 1351, 8359, 598
512, 10053, 1353, 8700, 1246
512, 10056, 1353, 8703, 97
512, 10227, 1353, 8874, 415
512, 11815, 1353, 10462, 27
512, 11647, 1354, 10293, 1489
512, 9843, 1354, 8489, 23
512, 9737, 1355, 8382, 106
512, 9820, 1355, 8465, 478
512, 10244, 1357, 8887, 1151
512, 10223, 1358, 8865, 69
512, 9630, 1361, 8269, 999
512, 10140, 1362, 8778, 1087
512, 10269, 1363, 8906, 181
512, 10365, 1363, 9002, 124
512, 9967, 1363, 8604, 82
512, 10218, 1364, 8854, 1321
512, 14648, 1364, 13284, 260
512, 10082, 1366, 8716, 33
512, 9945, 1367, 8578, 19
512, 12707, 1368, 11339, 1309
512, 9935, 1368, 8567, 784
512, 10113, 1370, 8743, 103
512, 10450, 1374, 9076, 51
512, 10274, 1375, 8899, 321
512, 10482, 1378, 9104, 121
512, 10610, 1378, 9232, 536
512, 9843, 1379, 8464, 82
512, 10428, 1380, 9048, 127
512, 12267, 1381, 10886, 1403
512, 9737, 1386, 8351, 205
512, 9706, 1387, 8319, 92
512, 10139, 1389, 8750, 59
512, 9869, 1393, 8476, 18
512, 10020, 1400, 8620, 675
512, 10353, 1402, 8951, 2025
512, 9548, 1404, 8144, 44
512, 9683, 1404, 8279, 25
512, 10214, 1406, 8808, 151
512, 9928, 1411, 8517, 109
512, 10753, 1416, 9337, 149
512, 9767, 1417, 8350, 342
512, 10220, 1419, 8801, 1484
512, 10257, 1422, 8835, 223
512, 10145, 1424, 8721, 1278
512, 10674, 1424, 9250, 167
512, 9767, 1426, 8341, 1201
512, 10553, 1427, 9126, 53
512, 10499, 1429, 9070, 158
512, 8479, 1434, 7045, 1275
512, 10064, 1436, 8628, 65
512, 9552, 1438, 8114, 39
512, 9852, 1438, 8414, 23
512, 9784, 1439, 8345, 1125
512, 9507, 1443, 8064, 29
512, 10411, 1447, 8964, 346
512, 9991, 1447, 8544, 29
512, 9727, 1449, 8278, 17
512, 10568, 1450, 9118, 341
512, 9913, 1452, 8461, 1234
512, 10398, 1453, 8945, 722
512, 10610, 1453, 9157, 58
512, 10075, 1454, 8621, 91
512, 9391, 1454, 7937, 8
512, 10524, 1455, 9069, 132
512, 10030, 1457, 8573, 44
512, 10275, 1458, 8817, 27
512, 10416, 1459, 8957, 127
512, 10061, 1461, 8600, 38
512, 8826, 1462, 7364, 854
512, 9372, 1467, 7905, 85
512, 10477, 1474, 9003, 56
512, 8625, 1474, 7151, 15
512, 9736, 1474, 8262, 7
512, 9835, 1475, 8360, 72
512, 10326, 1478, 8848, 188
512, 10614, 1481, 9133, 247
512, 9729, 1481, 8248, 196
512, 9745, 1481, 8264, 48
512, 9986, 1486, 8500, 104
512, 10008, 1487, 8521, 1183
512, 10021, 1487, 8534, 488
512, 10405, 1487, 8918, 281
512, 9760, 1487, 8273, 66
512, 9718, 1488, 8230, 29
512, 9524, 1489, 8035, 37
512, 9570, 1490, 8080, 30
512, 10149, 1491, 8658, 1528
512, 10217, 1493, 8724, 1501
512, 10727, 1494, 9233, 1253
512, 12228, 1494, 10734, 584
512, 9717, 1494, 8223, 4
512, 9744, 1495, 8249, 15
512, 10068, 1496, 8572, 762
512, 9934, 1496, 8438, 45
512, 10912, 1497, 9415, 1017
512, 12234, 1497, 10737, 479
512, 10687, 1501, 9186, 644
512, 11254, 1503, 9751, 118
512, 10141, 1507, 8634, 1186
512, 10341, 1509, 8832, 1424
512, 9597, 1509, 8088, 14
512, 9977, 1509, 8468, 1355
512, 9502, 1510, 7992, 1210
512, 10034, 1511, 8523, 64
512, 10282, 1513, 8769, 189
512, 10316, 1514, 8802, 22
512, 9358, 1515, 7843, 1338
512, 10364, 1518, 8846, 117
512, 9399, 1519, 7880, 29
512, 9886, 1520, 8366, 611
512, 9987, 1523, 8464, 161
512, 10420, 1524, 8896, 26
512, 9782, 1524, 8258, 1049
512, 9901, 1524, 8377, 52
512, 10086, 1525, 8561, 199
512, 10557, 1525, 9032, 82
512, 10164, 1526, 8638, 1179
512, 10400, 1527, 8873, 1236
512, 10040, 1529, 8511, 26
512, 10029, 1542, 8487, 151
512, 11757, 1544, 10213, 426
512, 9898, 1545, 8353, 1238
512, 9909, 1548, 8361, 173
512, 10300, 1550, 8750, 241
512, 9429, 1550, 7879, 26
512, 10042, 1551, 8491, 204
512, 8454, 1552, 6902, 1126
512, 12976, 1556, 11420, 1748
512, 9885, 1556, 8329, 47
512, 8479, 1557, 6922, 68
512, 10370, 1558, 8812, 177
512, 9822, 1558, 8264, 1233
512, 9877, 1558, 8319, 36
512, 10034, 1559, 8475, 63
512, 10406, 1559, 8847, 124
512, 10652, 1560, 9092, 577
512, 10453, 1562, 8891, 1256
512, 10627, 1562, 9065, 89
512, 8389, 1562, 6827, 74
512, 12623, 1563, 11060, 862
512, 9689, 1564, 8125, 8
512, 9933, 1564, 8369, 866
512, 10345, 1565, 8780, 111
512, 11793, 1566, 10227, 263
512, 9926, 1566, 8360, 117
512, 9739, 1571, 8168, 42
512, 10149, 1572, 8577, 152
512, 14028, 1573, 12455, 1556
512, 9993, 1573, 8420, 758
512, 10311, 1574, 8737, 1217
512, 9494, 1575, 7919, 577
512, 9693, 1578, 8115, 74
512, 10296, 1579, 8717, 209
512, 9569, 1579, 7990, 1900
512, 10097, 1582, 8515, 87
512, 9831, 1584, 8247, 80
512, 10169, 1588, 8581, 90
512, 10282, 1589, 8693, 50
512, 11680, 1589, 10091, 277
512, 10130, 1592, 8538, 24
512, 11271, 1594, 9677, 564
512, 9457, 1594, 7863, 5
512, 9778, 1598, 8180, 713
512, 10611, 1600, 9011, 1295
512, 9501, 1600, 7901, 36
512, 9809, 1600, 8209, 34
512, 10001, 1602, 8399, 229
512, 9978, 1603, 8375, 1177
512, 9577, 1604, 7973, 147
512, 9645, 1604, 8041, 98
512, 10395, 1605, 8790, 46
512, 9916, 1605, 8311, 167
512, 9828, 1606, 8222, 7
512, 9994, 1608, 8386, 38
512, 10221, 1609, 8612, 574
512, 9689, 1612, 8077, 117
512, 9919, 1613, 8306, 68
512, 10577, 1615, 8962, 103
512, 10125, 1616, 8509, 37
512, 10279, 1618, 8661, 82
512, 9845, 1619, 8226, 17
512, 10123, 1624, 8499, 1436
512, 10458, 1624, 8834, 1
512, 9450, 1627, 7823, 36
512, 10373, 1630, 8743, 105
512, 9496, 1630, 7866, 11
512, 9725, 1632, 8093, 33
512, 11072, 1633, 9439, 1879
512, 9968, 1633, 8335, 1517
512, 17967, 1635, 16332, 9296
512, 9654, 1635, 8019, 4
512, 10509, 1636, 8873, 305
512, 10083, 1637, 8446, 928
512, 10322, 1637, 8685, 55
512, 9897, 1639, 8258, 153
512, 10117, 1640, 8477, 149
512, 10032, 1643, 8389, 26
512, 9483, 1643, 7840, 76
512, 9884, 1644, 8240, 127
512, 9990, 1645, 8345, 76
512, 18024, 1646, 16378, 71
512, 18184, 1647, 16537, 6805
512, 9867, 1648, 8219, 54
512, 17898, 1651, 16247, 2606
512, 9874, 1651, 8223, 32
512, 17737, 1652, 16085, 6342
512, 10213, 1653, 8560, 51
512, 10074, 1654, 8420, 169
512, 17266, 1655, 15611, 8415
512, 17628, 1655, 15973, 6376
512, 17640, 1655, 15985, 6428
512, 18160, 1655, 16505, 7876
512, 17772, 1656, 16116, 2681
512, 17914, 1656, 16258, 5224
512, 17664, 1657, 16007, 7704
512, 17717, 1657, 16060, 8961
512, 18120, 1657, 16463, 9251
512, 17662, 1658, 16004, 3820
512, 17720, 1658, 16062, 6402
512, 17941, 1658, 16283, 2606
512, 18064, 1658, 16406, 11872
512, 10589, 1660, 8929, 23
512, 17662, 1660, 16002, 7707
512, 17665, 1661, 16004, 8996
512, 10818, 1662, 9156, 1755
512, 10528, 1667, 8861, 177
512, 9938, 1667, 8271, 108
512, 9543, 1668, 7875, 34
512, 9983, 1669, 8314, 72
512, 9902, 1670, 8232, 61
512, 9599, 1672, 7927, 23
512, 9639, 1672, 7967, 79
512, 9694, 1672, 8022, 419
512, 10429, 1676, 8753, 19
512, 9548, 1676, 7872, 113
512, 10153, 1677, 8476, 162
512, 9463, 1677, 7786, 8
512, 9638, 1677, 7961, 67
512, 9703, 1680, 8023, 52
512, 9948, 1681, 8267, 573
512, 10068, 1682, 8386, 590
512, 10071, 1682, 8389, 116
512, 11142, 1682, 9460, 703
512, 15866, 1682, 14184, 6881
512, 9650, 1683, 7967, 1297
512, 9512, 1684, 7828, 23
512, 9614, 1684, 7930, 16
512, 9827, 1684, 8143, 1210
512, 10163, 1685, 8478, 527
512, 9650, 1685, 7965, 1390
512, 11809, 1686, 10123, 332
512, 9265, 1686, 7579, 40
512, 10009, 1687, 8322, 57
512, 10281, 1687, 8594, 75
512, 10290, 1689, 8601, 68
512, 10372, 1689, 8683, 495
512, 9987, 1689, 8298, 1218
512, 10561, 1690, 8871, 80
512, 8471, 1692, 6779, 1082
512, 9845, 1693, 8152, 38
512, 11234, 1695, 9539, 103
512, 9396, 1700, 7696, 37
512, 9868, 1700, 8168, 366
512, 16040, 1704, 14336, 6974
512, 9474, 1706, 7768, 634
512, 9875, 1706, 8169, 89
512, 9881, 1706, 8175, 63
512, 13015, 1710, 11305, 317
512, 16052, 1710, 14342, 8268
512, 9630, 1711, 7919, 32
512, 15624, 1712, 13912, 5517
512, 9707, 1713, 7994, 104
512, 15990, 1714, 14276, 8284
512, 16087, 1714, 14373, 8273
512, 9682, 1714, 7968, 75
512, 10136, 1715, 8421, 122
512, 16012, 1715, 14297, 4281
512, 16097, 1715, 14382, 6907
512, 16013, 1716, 14297, 8327
512, 16022, 1716, 14306, 8260
512, 16111, 1716, 14395, 8304
512, 9679, 1716, 7963, 1553
512, 9808, 1716, 8092, 357
512, 9846, 1716, 8130, 192
512, 16045, 1717, 14328, 6905
512, 9909, 1717, 8192, 1229
512, 15999, 1718, 14281, 6935
512, 10304, 1719, 8585, 442
512, 9709, 1719, 7990, 81
512, 15997, 1722, 14275, 8303
512, 10637, 1723, 8914, 639
512, 9976, 1724, 8252, 363
512, 10232, 1727, 8505, 1236
512, 13074, 1728, 11346, 2067
512, 9646, 1728, 7918, 1547
512, 11972, 1729, 10243, 62
512, 9816, 1729, 8087, 42
512, 9774, 1731, 8043, 40
512, 10272, 1732, 8540, 128
512, 9984, 1732, 8252, 48
512, 9907, 1733, 8174, 264
512, 9868, 1735, 8133, 113
512, 9673, 1737, 7936, 79
512, 10101, 1739, 8362, 58
512, 13872, 1743, 12129, 1554
512, 8656, 1743, 6913, 7
512, 11752, 1744, 10008, 1041
512, 9915, 1745, 8170, 25
512, 10317, 1746, 8571, 49
512, 9850, 1749, 8101, 1087
512, 9998, 1749, 8249, 357
512, 9967, 1754, 8213, 106
512, 17399, 1755, 15644, 5161
512, 10430, 1756, 8674, 362
512, 10850, 1756, 9094, 248
512, 10555, 1757, 8798, 53
512, 9784, 1757, 8027, 1206
512, 14644, 1758, 12886, 4475
512, 9569, 1758, 7811, 25
512, 9463, 1759, 7704, 51
512, 11945, 1763, 10182, 83
512, 9584, 1763, 7821, 346
512, 9855, 1763, 8092, 84
512, 9789, 1764, 8025, 94
512, 11534, 1767, 9767, 95
512, 8778, 1769, 7009, 1474
512, 9410, 1769, 7641, 655
512, 9641, 1770, 7871, 3
512, 9993, 1770, 8223, 128
512, 9603, 1775, 7828, 1224
512, 10086, 1777, 8309, 488
512, 10161, 1777, 8384, 43
512, 9466, 1778, 7688, 67
512, 9705, 1779, 7926, 1357
512, 8606, 1782, 6824, 232
512, 9749, 1784, 7965, 97
512, 10516, 1788, 8728, 52
512, 9681, 1788, 7893, 475
512, 9662, 1789, 7873, 4
512, 12955, 1790, 11165, 402
512, 9842, 1791, 8051, 3
512, 10103, 1795, 8308, 355
512, 10073, 1798, 8275, 214
512, 9185, 1801, 7384, 664
512, 21535, 1803, 19732, 2458
512, 10928, 1804, 9124, 47
512, 11033, 1809, 9224, 1193
512, 9374, 1809, 7565, 333
512, 9689, 1810, 7879, 78
512, 9918, 1812, 8106, 501
512, 10265, 1813, 8452, 107
512, 9746, 1814, 7932, 35
512, 9632, 1815, 7817, 59
512, 9680, 1817, 7863, 632
512, 10065, 1818, 8247, 872
512, 11266, 1819, 9447, 34
512, 9979, 1819, 8160, 678
512, 10373, 1822, 8551, 64
512, 9442, 1822, 7620, 27
512, 9541, 1822, 7719, 19
512, 9699, 1822, 7877, 25
512, 10114, 1825, 8289, 270
512, 12443, 1830, 10613, 184
512, 17042, 1832, 15210, 7120
512, 10185, 1834, 8351, 67
512, 8551, 1834, 6717, 1223
512, 9651, 1836, 7815, 119
512, 9750, 1836, 7914, 17
512, 10597, 1838, 8759, 705
512, 9446, 1838, 7608, 1438
512, 9420, 1839, 7581, 29
512, 9624, 1843, 7781, 12
512, 9559, 1845, 7714, 98
512, 9386, 1846, 7540, 32
512, 9743, 1847, 7896, 83
512, 8558, 1848, 6710, 1094
512, 8847, 1850, 6997, 423
512, 9943, 1850, 8093, 6
512, 9630, 1851, 7779, 27
512, 10712, 1852, 8860, 47
512, 9654, 1853, 7801, 1305
512, 9746, 1853, 7893, 41
512, 9694, 1854, 7840, 32
512, 10362, 1857, 8505, 92
512, 9983, 1857, 8126, 4
512, 9451, 1859, 7592, 64
512, 9867, 1869, 7998, 750
512, 12722, 1872, 10850, 438
512, 8439, 1878, 6561, 200
512, 9679, 1880, 7799, 26
512, 9670, 1884, 7786, 1608
512, 9669, 1889, 7780, 1194
512, 9797, 1893, 7904, 39
512, 9663, 1896, 7767, 0
512, 9586, 1900, 7686, 1579
512, 10894, 1905, 8989, 142
512, 11173, 1905, 9268, 179
512, 8627, 1905, 6722, 27
512, 9819, 1905, 7914, 194
512, 10457, 1908, 8549, 40
512, 12433, 1910, 10523, 512
512, 9846, 1911, 7935, 43
512, 8597, 1914, 6683, 220
512, 8585, 1916, 6669, 112
512, 9568, 1917, 7651, 45
512, 9619, 1924, 7695, 86
512, 9374, 1925, 7449, 73
512, 9559, 1926, 7633, 1636
512, 9932, 1927, 8005, 145
512, 9715, 1929, 7786, 34
512, 9504, 1932, 7572, 205
512, 9956, 1932, 8024, 1332
512, 8655, 1934, 6721, 1088
512, 13241, 1936, 11305, 1785
512, 12669, 1937, 10732, 5
512, 11435, 1938, 9497, 56
512, 9801, 1952, 7849, 195
512, 11496, 1953, 9543, 134
512, 14204, 1957, 12247, 6
512, 8641, 1957, 6684, 11
512, 10229, 1959, 8270, 106
512, 9770, 1962, 7808, 51
512, 9512, 1964, 7548, 50
512, 9890, 1970, 7920, 1148
512, 11042, 1971, 9071, 1260
512, 9690, 1989, 7701, 5
512, 9663, 1992, 7671, 1347
512, 9466, 2000, 7466, 67
512, 10510, 2002, 8508, 480
512, 10436, 2009, 8427, 1254
512, 11068, 2011, 9057, 1220
512, 10410, 2016, 8394, 599
512, 8780, 2023, 6757, 45
512, 9833, 2026, 7807, 58
512, 10617, 2030, 8587, 1229
512, 11665, 2034, 9631, 686
512, 11185, 2035, 9150, 82
512, 12070, 2059, 10011, 353
512, 13269, 2098, 11171, 169
512, 9322, 2098, 7224, 33
512, 11283, 2110, 9173, 96
512, 11504, 2111, 9393, 1437
